clinic_private,address,latitude,longitude,type,confidence
"CIPA Cuauhtémoc, Acompañame","Calz. de la Viga 371, Asturias, Cuauhtémoc, 06850 Ciudad de México, CDMX, Mexico",19.40555,-99.12675,RoadBlock,High
CISAR Mujer,"Dr.Jose Terres 86-66, Doctores, Cuauhtémoc, 06720 Ciudad de México, CDMX, Mexico",19.41541,-99.14991,Address,High
Clínica Ginecea,"Av Ejército Nacional 161, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",19.43537,-99.17752,Address,High
Clínica Mexfam La Villa,"Talara 103, Tepeyac Insurgentes, Gustavo A. Madero, 07020 Ciudad de México, CDMX, Mexico",19.48471,-99.1218,Address,High
Clínica Mexfam Revolución,"Ponciano Arriaga 28, Tabacalera, Cuauhtémoc, 06030 Ciudad de México, CDMX, Mexico",19.27695,-99.12244,Address,High
Clínica Mexfam XOLA,"Calz. de Tlalpan 648A, Moderna, Benito Juárez, 03510 Ciudad de México, CDMX, Mexico",19.39521,-99.13754,Address,High
Clínica SARI,"Avenida de los Montes 60, Portales Sur, Benito Juárez, 03300 Ciudad de México, CDMX, Mexico",19.36357,-99.14333,Address,High
Clínicas Fem,"Calle Venturina 28, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",19.47132,-99.12821,RoadBlock,High
Consultorio CIDEC,"Puerto Acapulco 98-90, Casas Alemán, Gustavo A. Madero, 07580 Ciudad de México, CDMX, Mexico",19.47805,-99.08415,Address,High
Centro Dalia y Gaia,"Avenida 16 Número 74 General, Ignacio Zaragoza, Venustiano Carranza, 15000 CDMX, Mexico",19.41164,-99.09722,Address,High
CIFEM,"Gutenberg 61, Verónica Anzúres, Miguel Hidalgo, 11300 Ciudad de México, CDMX, Mexico",19.43334,-99.17335,Address,High
Especialistas en ILE Aeropuerto,"Calle 3, No. 67, Valentín Gómez Farías, C.P. 15010, CDMX, México",29.35265,-107.73388,Address,High
Femilemm,"Ingenieros 50-26, Escandón I Secc, Miguel Hidalgo, Ciudad de México, CDMX, Mexico",19.4474,-99.21603,Address,High
Femisana Womens Clinic,"Orizaba 18, Roma Nte., Cuauhtémoc, 06700 Ciudad de México, CDMX, Mexico",19.41285,-99.15826,Address,High
FemyCENTER,"Matanzas 645-A, Lindavista, Gustavo A. Madero, 07300 Ciudad de México, CDMX, Mexico",19.48981,-99.13309,Address,High
Fundación Médica Integral,"Av. Baja California 218, Roma Sur, Cuauhtémoc, 06760 Ciudad de México, CDMX, Mexico",19.40582,-99.16741,Address,High
Ginecafem,"Frambuesa 192, Colonia Nueva Santa María, Azcapotzalco",19.99719,-99.34898,Neighborhood,High
Gineclinic,"Calzada Santa Anita 148 B, Colonia Viaducto Piedad, Iztacalco",32.62724,-115.38752,RoadBlock,High
GINELEM A.C.,"GINELEM, A.C. Bajío 369 Col. Hipódromo Condesa, Cuauhtémoc",19.413471221923828,-99.17569732666016,Neighborhood,Medium
Gineser,"Salina Cruz 54, Colonia Roma Sur, Cuauhtémoc",19.40186,-99.16481,Address,High
Marie Stopes Aragón,"Plaza Morazán PB, Av. Hank González Esq. Con Francisco Morazán Col. San Juan de Aragón Del. Gustavo A. Madero, C.P. 07918, Ciudad de México",19.43267822265625,-99.13420867919922,PopulatedPlace,Medium
Marie Stopes Azcapotzalco,"Av. 22 de Febrero #345 1er. piso. Col. Azcapotzalco Centro, Del. Azcapotzalco, C.P. 02000, Ciudad de México.",,,,
Marie Stopes Centro Histórico,"Bolívar 21, Centro, CP 06000, Delegación Cuauhtémoc, CDMX",19.43397,-99.13831,Address,High
Marie Stopes Coyoacán,"Av Miguel Ángel de Quevedo #1098 Col. Parque San Andrés, Del. Coyoacán, C.P. 04040, Ciudad de México.",,,,
Marie Stopes Pedregal,"Periférico Sur #4829 Col. Parques del Pedregal, Del. Tlalpan, C.P. 14010, Ciudad de México.",,,,
Marie Stopes Roma (Manzanillo),"Manzanillo #49 Col. Roma Sur, Del. Cuauhtémoc, C.P. 06760, Ciudad de México.",,,,
Marie Stopes Toreo,"Centro Comercial Pericentro Blvd. Manuel Ávila Camacho #681 C.P. 11220; Miguel Hidalgo, CDMX",,,,
Marie Stopes Condesa,"Calle Atlixco # 12 Col. Condesa Del. Cuauhtémoc 06140 Ciudad de México, CDMX",,,,
Medica Center FEM,"Calle Venturina 28, Col. Estrella, Gustavo A. Madero, 07810 Ciudad de México, CDMX, Mexico",19.47132,-99.12821,RoadBlock,High
Profem,"Dr José María Vertiz 158, Doctores, Cuauhtémoc, 06720",19.41957,-99.1473,Address,High
Promedica Mujer,"Avenida Baja California 111 B, Colonia Roma, Cuauhtémoc",32.6036,-114.93288,Address,High
Servicios de Salud Medieg A.C.,"Calle Gabriel Mancera 803, Col del Valle Centro, Benito Juárez, 03100 Ciudad de México, CDMX, Mexico",19.38984,-99.16646,RoadBlock,High
Unidades Médicas de la Mujer Consulado,"Av. Rio Consulado 1448, Vallejo, Gustavo A. Madero, 07870 Ciudad de México, CDMX, Mexico",19.46521,-99.13551,Address,High
Unidades Médicas de la Mujer Tlalpan,"Calz. San Antonio Abad 296-B, Asturias, Cuauhtémoc, 06860 Ciudad de México, CDMX, Mexico",19.40698,-99.13573,Address,High
